Source,total_bytes,packet_count,avg_packet_len,protocol_diversity,unique_destinations,cluster
157.181.152.17,16908,27,626.2222222222222,2,1,0
157.181.152.50,1846994,1419,1301.616631430585,2,1,0
157.181.152.55,132466,119,1113.1596638655462,2,1,0
157.240.194.52,220,2,110.0,1,1,2
157.240.201.62,220,2,110.0,1,1,2
157.240.236.62,220,2,110.0,1,1,2
159.138.92.254,178,2,89.0,1,1,2
160.44.192.15,436,5,87.2,1,1,2
160.44.195.252,5032,11,457.45454545454544,2,1,2
160.44.207.213,13474,19,709.1578947368421,2,1,0
172.217.19.100,4957,35,141.62857142857143,4,1,2
172.217.19.101,58080,66,880.0,2,1,0
172.217.19.106,22951,87,263.8045977011494,3,1,2
172.217.19.109,5959765,4175,1427.488622754491,2,1,0
172.217.19.110,56929,66,862.560606060606,2,1,0
172.217.19.99,6394,17,376.11764705882354,3,1,2
172.217.20.10,511036,924,553.069264069264,3,1,2
172.217.20.13,9246,23,402.0,2,1,2
172.217.20.14,61952,113,548.2477876106195,3,1,2
172.217.218.92,9475,24,394.7916666666667,2,1,2
173.194.69.113,25935,194,133.68556701030928,2,1,2
185.180.72.77,126825,97,1307.4742268041236,2,1,0
185.60.216.16,95984,91,1054.7692307692307,2,1,0
185.60.218.12,24486,176,139.125,3,1,2
185.60.218.15,125188,193,648.6424870466321,3,1,0
185.60.218.19,656636,1027,639.3729308666018,4,1,0
185.60.218.24,98554,170,579.7294117647059,2,1,2
185.60.218.32,156,2,78.0,2,1,2
185.60.218.33,2400,28,85.71428571428571,2,1,2
185.60.218.35,19067,66,288.8939393939394,2,1,2
185.60.218.51,10396,34,305.7647058823529,1,1,2
185.60.218.52,66404,83,800.0481927710844,3,1,0
185.60.218.53,4665,9,518.3333333333334,2,1,2
185.60.218.54,28998,172,168.59302325581396,1,1,2
192.168.100.1,61385,409,150.08557457212714,2,2,2
192.168.100.69,29396836,49236,597.059793646925,14,133,3
194.132.68.114,26183210,28363,923.14670521454,2,1,1
2.23.9.219,1176,12,98.0,1,1,2
20.150.95.132,31463,418,75.27033492822966,2,1,2
20.189.173.11,20892,41,509.5609756097561,2,1,2
20.189.173.12,7780,12,648.3333333333334,2,1,0
20.190.159.136,9171,11,833.7272727272727,2,1,0
20.190.159.138,195159,181,1078.2265193370165,2,1,0
20.199.120.182,2519,11,229.0,1,1,2
20.42.65.89,14856,19,781.8947368421053,2,1,0
20.42.73.26,7383,12,615.25,2,1,0
20.44.229.112,9467,13,728.2307692307693,2,1,0
20.47.97.47,4621,10,462.1,2,1,2
216.239.38.135,30015,59,508.728813559322,2,1,2
2606:4700::6810:125e,23339,42,555.6904761904761,2,1,2
2606:4700::6810:5614,30899,47,657.4255319148937,2,1,0
2a00:1450:400d:804::200a,16792,126,133.26984126984127,2,1,2
2a00:1450:400d:805::2003,60039,65,923.6769230769231,2,1,0
2a00:1450:400d:806::2003,5821,33,176.3939393939394,2,1,2
2a00:1450:400d:806::200a,112425,123,914.0243902439024,2,1,0
2a00:1450:400d:807::2003,1933,10,193.3,2,1,2
2a00:1450:400d:807::200e,91715,449,204.2650334075724,2,1,2
2a00:1450:400d:80a::2003,5845,19,307.63157894736844,2,1,2
2a00:1450:400d:80a::200a,3094,19,162.8421052631579,2,1,2
2a00:1450:400d:80a::200e,393,4,98.25,2,1,2
2a00:1450:400d:80c::2004,326974,356,918.4662921348314,2,1,0
2a00:1450:400d:80c::200e,13857,123,112.65853658536585,2,1,2
2a00:1450:400d:80e::200a,14678,43,341.3488372093023,2,1,2
2a00:1450:400d:80e::200e,112906,387,291.7467700258398,2,1,2
2a00:1450:4025:402::bc,946,11,86.0,1,1,2
2a01:36d:1100:4556:255d:5630:6977:4e59,74014,171,432.83040935672517,2,19,2
2a01:36d:1100:4556:b454:51e3:7e0:7da6,86,1,86.0,1,1,2
2a01:36d:1100:4556:c1be:d965:1a55:674c,129124,243,531.3744855967078,4,34,2
2a01:36d:1100:4556:e4c4:c0d:a458:2564,283482,1001,283.1988011988012,4,68,2
